,Pressure,Pumping Speed (L/min)
A150W,0.004,1
A150W,0.0042,1000.00002
A150W,0.0045,1999.99998
A150W,0.005,3000
A150W,0.0065,4999.99998
A150W,0.007,5599.99998
A150W,0.01,7800
A150W,0.016,10000.0002
A150W,0.02,10999.9998
A150W,0.03,12000
A150W,0.05,13200
A150W,0.08,14500.0002
A150W,0.1,14800.0002
A150W,0.2,15000
A150W,0.3,15000
A150W,0.5,14800.0002
A150W,1,14500.0002
A150W,1.5,13999.9998
A150W,2,13500
A150W,3,13000.0002
A150W,3.1,2500.00002
A150W,5,2500.00002
A150W,10,2449.99998
A150W,20,2380.00002
A150W,30,2350.00002
A150W,50,2250
A150W,70,2220
A150W,100,2200.00002
A150W,200,2100
A150W,300,1980
A150W,500,1849.99998
A150W,760,1750.00002
A300WT,0.00398,1
A300WT,0.0041,4677
A300WT,0.0072,10714.9998
A300WT,0.01,13258.9998
A300WT,0.01995,17377.9998
A300WT,0.03998,20461.0002
A300WT,0.06998,20892
A300WT,0.09975,24603
A300WT,0.19995,27009
A300WT,0.39975,28032
A300WT,0.69975,26224.9998
A300WT,0.99975,25242
A300WT,1.9995,22947
A300WT,3.99975,17593.0002
A300WT,6.99975,12457.0002
A300WT,9.9975,9484.0002
A300WT,20.0925,5619
A300WT,39.9975,3744
A300WT,70.4925,2890.00002
A300WT,100.5975,2569.99998
A300WT,200.7975,2089.99998
A300WT,543.3975,1681.99998
A300WT,759.75,1500
A70W,0.002,1
A70W,0.0022,500
A70W,0.0026,1000.00002
A70W,0.0036,1999.99998
A70W,0.0064,3000
A70W,0.01,4000.00002
A70W,0.02,4999.99998
A70W,0.05,6000
A70W,0.1,6499.9998
A70W,0.2,6799.9998
A70W,0.5,7000.0002
A70W,1,7000.0002
A70W,2,7000.0002
A70W,5,6600
A70W,10,6400.0002
A70W,20,6000
A70W,30,5599.99998
A70W,31,600
A70W,40,799.99998
A70W,55,1000.00002
A70W,100,1200
A70W,200,1300.00002
A70W,500,1399.99998
A70W,760,1399.99998
AAS100WN,0.00113,10
AAS100WN,0.0015,1000.00002
AAS100WN,0.0075,5599.99998
AAS100WN,0.01875,7000.0002
AAS100WN,0.075,9000
AAS100WN,0.225,10000.0002
AAS100WN,0.75,10099.9998
AAS100WN,2.25,10000.0002
AAS100WN,7.5,7999.9998
AAS100WN,45,3000
AAS100WN,75,1999.99998
AAS100WN,150,1500
AAS100WN,750,1000.00002
EV-A10 with GB,0.015,1
EV-A10 with GB,0.0172,234
EV-A10 with GB,0.0211,369
EV-A10 with GB,0.032,499
EV-A10 with GB,0.0552,640
EV-A10 with GB,0.0843,762
EV-A10 with GB,0.106,817
EV-A10 with GB,0.206,895
EV-A10 with GB,0.402,931
EV-A10 with GB,0.698,958
EV-A10 with GB,1,981
EV-A10 with GB,2.06,1010
EV-A10 with GB,4,1020
EV-A10 with GB,7.06,1030
EV-A10 with GB,10,1030
EV-A10 with GB,20.6,1030
EV-A10 with GB,40.5,1020
EV-A10 with GB,69.3,993
EV-A10 with GB,100,956
EV-A10 with GB,203,857
EV-A10 with GB,405,810
EV-A10 with GB,699,795
EV-A10 with GB,712,798
EV-A10 with GB,760,798
EV-A10,0.0075,1
EV-A10,0.009,222
EV-A10,0.0109,351
EV-A10,0.0191,499
EV-A10,0.0437,683
EV-A10,0.0731,761
EV-A10,0.107,816
EV-A10,0.206,895
EV-A10,0.402,931
EV-A10,0.698,958
EV-A10,0.998,981
EV-A10,2.06,1010
EV-A10,4,1020
EV-A10,7.07,1030
EV-A10,10,1030
EV-A10,20.6,1030
EV-A10,40.5,1020
EV-A10,69.3,993
EV-A10,100,955
EV-A10,203,856
EV-A10,405,810
EV-A10,699,795
EV-A10,712,798
EV-A10,760,798
EV-SA20 with GB,0.0375,1
EV-SA20 with GB,0.03825,100
EV-SA20 with GB,0.03863,200
EV-SA20 with GB,0.039,400
EV-SA20 with GB,0.04125,640
EV-SA20 with GB,0.04875,863
EV-SA20 with GB,0.07103,1078
EV-SA20 with GB,0.1008,1196
EV-SA20 with GB,0.20828,1373
EV-SA20 with GB,0.40035,1506
EV-SA20 with GB,0.70305,1561
EV-SA20 with GB,0.9759,1584
EV-SA20 with GB,2.0538,1618
EV-SA20 with GB,4.00665,1640
EV-SA20 with GB,7.04445,1613
EV-SA20 with GB,10.74915,1582
EV-SA20 with GB,20.16833,1494
EV-SA20 with GB,30.43748,1397
EV-SA20 with GB,37.67693,1313
EV-SA20 with GB,40.99665,1263
EV-SA20 with GB,68.39438,927
EV-SA20 with GB,191.01225,400
EV-SA20 with GB,328.14158,394
EV-SA20 with GB,401.96693,473
EV-SA20 with GB,698.74253,803
EV-SA20 with GB,759.9375,870
EV-SA20 without GB,0.0225,1
EV-SA20 without GB,0.02325,100
EV-SA20 without GB,0.02363,200
EV-SA20 without GB,0.0255,400
EV-SA20 without GB,0.03,640
EV-SA20 without GB,0.04298,863
EV-SA20 without GB,0.07103,1078
EV-SA20 without GB,0.1008,1196
EV-SA20 without GB,0.20828,1373
EV-SA20 without GB,0.40035,1506
EV-SA20 without GB,0.70305,1561
EV-SA20 without GB,0.9759,1584
EV-SA20 without GB,2.0538,1618
EV-SA20 without GB,4.00665,1640
EV-SA20 without GB,7.04445,1613
EV-SA20 without GB,10.74915,1582
EV-SA20 without GB,20.16833,1494
EV-SA20 without GB,30.43748,1397
EV-SA20 without GB,37.67693,1313
EV-SA20 without GB,40.99665,1263
EV-SA20 without GB,68.39438,927
EV-SA20 without GB,191.01225,400
EV-SA20 without GB,328.14158,394
EV-SA20 without GB,401.96693,473
EV-SA20 without GB,698.74253,803
EV-SA20 without GB,759.9375,870
EV-SA30 with GB,0.0225,1
EV-SA30 with GB,0.02325,500
EV-SA30 with GB,0.02513,1000
EV-SA30 with GB,0.0375,1650
EV-SA30 with GB,0.075,2100
EV-SA30 with GB,0.1875,2700
EV-SA30 with GB,0.45,3050
EV-SA30 with GB,0.75,3100
EV-SA30 with GB,1.5,3250
EV-SA30 with GB,2.25,3300
EV-SA30 with GB,7.5,3300
EV-SA30 with GB,10.5,2900
EV-SA30 with GB,240,130
EV-SA30 with GB,397.5,490
EV-SA30 with GB,697.5,670
EV-SA30 without GB,0.015,1
EV-SA30 without GB,0.01575,500
EV-SA30 without GB,0.0165,1000
EV-SA30 without GB,0.0195,1300
EV-SA30 without GB,0.075,2100
EV-SA30 without GB,0.1875,2700
EV-SA30 without GB,0.45,3050
EV-SA30 without GB,0.75,3100
EV-SA30 without GB,1.5,3250
EV-SA30 without GB,2.25,3300
EV-SA30 without GB,7.5,3300
EV-SA30 without GB,10.5,2900
EV-SA30 without GB,240,130
EV-SA30 without GB,397.5,490
EV-SA30 without GB,697.5,670
EV-SA30 without GB,10.74915,1582
EV-SA30 without GB,20.16833,1494
EV-SA30 without GB,30.43748,1397
EV-SA30 without GB,37.67693,1313
EV-SA30 without GB,40.99665,1263
EV-SA30 without GB,68.39438,927
EV-SA30 without GB,191.01225,400
EV-SA30 without GB,328.14158,394
EV-SA30 without GB,401.96693,473
EV-SA30 without GB,698.74253,803
EV-SA30 without GB,759.9375,870
EV-SA50 with GB,0.0075,1
EV-SA50 with GB,0.00788,1141.9
EV-SA50 with GB,0.00863,1930
EV-SA50 with GB,0.01013,2336.7
EV-SA50 with GB,0.02003,3121.31741
EV-SA50 with GB,0.04,3806.48464
EV-SA50 with GB,0.06999,4459.02487
EV-SA50 with GB,0.10019,4786.59745
EV-SA50 with GB,0.19998,5138.75427
EV-SA50 with GB,0.40007,5137.4699
EV-SA50 with GB,0.69994,5111.56509
EV-SA50 with GB,0.99992,5024.55973
EV-SA50 with GB,1.99984,4681.97611
EV-SA50 with GB,3.99967,4377.45734
EV-SA50 with GB,5.09458,4034.35075
EV-SA50 with GB,7.00942,3475.24989
EV-SA50 with GB,9.94918,2830.9534
EV-SA50 with GB,134.9889,225.56946
EV-SA50 with GB,199.98355,190.32423
EV-SA50 with GB,399.96711,413.00358
EV-SA50 with GB,699.74245,764.11797
EV-SA50 with GB,706.14192,762.98793
EV-SA50 without GB,0.00375,1
EV-SA50 without GB,0.00398,1141.9
EV-SA50 without GB,0.00713,1930
EV-SA50 without GB,0.01013,2336.7
EV-SA50 without GB,0.02003,3121.31741
EV-SA50 without GB,0.04,3806.48464
EV-SA50 without GB,0.06999,4459.02487
EV-SA50 without GB,0.10019,4786.59745
EV-SA50 without GB,0.19998,5138.75427
EV-SA50 without GB,0.40007,5137.4699
EV-SA50 without GB,0.69994,5111.56509
EV-SA50 without GB,0.99992,5024.55973
EV-SA50 without GB,1.99984,4681.97611
EV-SA50 without GB,3.99967,4377.45734
EV-SA50 without GB,5.09458,4034.35075
EV-SA50 without GB,7.00942,3475.24989
EV-SA50 without GB,9.94918,2830.9534
EV-SA50 without GB,134.9889,225.56946
EV-SA50 without GB,199.98355,190.32423
EV-SA50 without GB,399.96711,413.00358
EV-SA50 without GB,699.74245,764.11797
EV-SA50 without GB,706.14192,762.98793
ESA100W,0.001,0.1
ESA100W,0.00225,400
ESA100W,0.0042,1440
ESA100W,0.0092,2460
ESA100W,0.026,4290
ESA100W,0.0518,5980
ESA100W,0.13,7960
ESA100W,0.168,8320
